title,author,price,image_url,product_url,availability,category,scraped_at
The Ascent of the Matterhorn : INCLUDING THE FORGOTTEN...,,"Rp 486,000",https://static.periplus.com/tHDTqiHSk2rHpogFDbFCOSaGnpiZQAYg9ONiSOX44LB8rUiB3p96td8ZvvSsqINIw--,http://www.periplus.com/p/9781783341825/the-ascent-of-the-matterhorn-including-the-forgotten-photographs?path=1,Hardcover,new_releases,2025-08-23 10:39:36.533692
Kindling,,"Rp 318,000",https://static.periplus.com/gcwSrvg2.8plD5IevLyUSA9GMWF5FIVs83BLujwXaPGXmyKETF9z16T9aImAAsBVQ--,http://www.periplus.com/p/9780008702144/kindling?path=1,Paperback,new_releases,2025-08-23 10:39:36.534076
Arsène Who?: The Story of the Wenger Revolution,,"Rp 252,000",https://static.periplus.com/pDb0aGlorOK29WjLVIvCkkaU5f77o2et74tsxrq_XWJv2buKC9mNEkXz7JH_s8Isg--,http://www.periplus.com/p/9781788404556/ars-ne-who-the-story-of-the-wenger-revolution?path=1,Paperback,new_releases,2025-08-23 10:39:36.534443
Lost and Never Found: The Twisty Third Book in the...,,"Rp 246,000",https://static.periplus.com/ht3JebIzmGuNIjwc4cvS8JDewSPDHKBZ1GgA11vroxernFWMBhLp0H4fCsp7ksmOA--,http://www.periplus.com/p/9781529425895/lost-and-never-found-the-twisty-third-book-in-the-di-ryan-wilkins-mysteries?path=1,Paperback,new_releases,2025-08-23 10:39:36.534826
What Are You Feeling?: A Picture Book of Your Emotions...,,"Rp 224,000",https://static.periplus.com/qdiS.FFUKtchi1SeCTF4EdvNMKno44L1FAo3CedmLEGytxSvkV7iuHAQVnzmF5Ksg--,http://www.periplus.com/p/9781916753181/what-are-you-feeling-a-picture-book-of-your-emotions?path=1,Paperback,new_releases,2025-08-23 10:39:36.535209
The Garden Club Murders,,"Rp 318,000",https://static.periplus.com/nEWhbLRfu3QxvO3RCA_1WSfrdptFsT0Il1csrCvuo3Uf1FIGOjEhmWl4RAVfewtJg--,http://www.periplus.com/p/9780008626457/the-garden-club-murders?path=1,Paperback,new_releases,2025-08-23 10:39:36.535578
The Teachings of a Stoic: Selected Discourses and ...,,"Rp 170,000",https://static.periplus.com/jbL4E30PgAekvzKTKG0b7M7mlwTEizzIqt476Dyp61BndAUq17vL1u31gr_xhJ85g--,http://www.periplus.com/p/9780008729981/the-teachings-of-a-stoic-selected-discourses-and-the-encheiridion?path=1,Paperback,new_releases,2025-08-23 10:39:36.535946
Poetry Prescription: Becoming,,"Rp 224,000",https://static.periplus.com/ihYGtx3yKpltFseTHwTcb2h1Xdlk5L2mQwZlMTCFLgOjVTGCm3YBWd4ISheGE6Ouw--,http://www.periplus.com/p/9781035061495/poetry-prescription-becoming?path=1,Hardcover,new_releases,2025-08-23 10:39:36.536300
The Oasis Activity Book: An Unofficial Lovefest,,"Rp 252,000",https://static.periplus.com/gE.AxqcNt0607g8.WnlaWFEXBmqOUeYLV0tLgmtCMhBdNQ0Zh7Ft2jCKBgwduv7eA--,http://www.periplus.com/p/9780008748470/the-oasis-activity-book-an-unofficial-lovefest?path=1,Paperback,new_releases,2025-08-23 10:39:36.536664
The Little Book of Intuition,,"Rp 218,000",https://static.periplus.com/gMk5D1Zx9ffnG4IuNa0jSVzy22WN3PooofS_31hA4AdZIfOJ3JafII6FrTLSNIxXQ--,http://www.periplus.com/p/9781841816395/the-little-book-of-intuition?path=1,Hardcover,new_releases,2025-08-23 10:39:36.537028
Normally Weird and Weirdly Normal: My Adventures in...,,"Rp 486,000",https://static.periplus.com/uGX2cFJZWIRZot_rsJkzPsREPCh_WV.b8cEbf_2kUMjwKs.iIqsrQvNNMkGmjIWEg--,http://www.periplus.com/p/9781035036929/normally-weird-and-weirdly-normal-my-adventures-in-neurodiversity?path=1,Hardcover,new_releases,2025-08-23 10:39:36.537379
Harry Potter School Years Scrapbook,,"Rp 386,000",https://static.periplus.com/lNgASH.32_xQaRBShB_DO_NHtQhpASJ6a4Lvgs8pk5KcmqgrJAscCOM59TV.1972g--,http://www.periplus.com/p/9781667206202/harry-potter-school-years-scrapbook?path=1,Hardcover,new_releases,2025-08-23 10:39:36.537737
Howards End: With an Introduction by David Nicholls...,,"Rp 448,000",https://static.periplus.com/nc0STvXEs80PmDevhyAD7xpFLjYvQcE2pgiYSEMS2fY6T6eiAdamKY5rn6agzlaEQ--,http://www.periplus.com/p/9781399736190/howards-end-with-an-introduction-by-david-nicholls-bestselling-author-of-you-are-here?path=1,Hardcover,new_releases,2025-08-23 10:39:36.538103
Wind/ Pinball,,"Rp 242,000",https://static.periplus.com/vYmESI4KXpWq9TuR4f88U9o.Dbr5SGgimS9CXJM0mVW3cnujUNtGa_8F.pe_U5nMg--,http://www.periplus.com/p/9781529957747/wind-pinball?path=1,Paperback,new_releases,2025-08-23 10:39:36.538466
"Beyblade X, Vol. 3",,"Rp 201,000",https://static.periplus.com/m7BzIxTKm3verzHH8IHdLkhXg4ZB6MwotA4vhCh1tamc6wqjv45pkzmYbdZK_1sUQ--,http://www.periplus.com/p/9781974755189/beyblade-x-vol-3?path=1,Paperback,new_releases,2025-08-23 10:39:36.538846
"Speak, Memorably: The Art of Captivating an Audience...",,"Rp 560,000",https://static.periplus.com/jpsUBzfCVSlEihfTF9KZjg8xDs_gAGj0FjrG9zgRZrV5y1QMROfi5yVWTIgxodbkg--,http://www.periplus.com/p/9780063415195/speak-memorably-the-art-of-captivating-an-audience?path=1,Hardcover,new_releases,2025-08-23 10:39:36.539203
Anima Rising,,"Rp 503,000",https://static.periplus.com/nJw6D9RZi49JHHSg8CCshT8eLnT6w55eSog3AFsGFb531KQLOb.LShIcYOGSlQRTA--,http://www.periplus.com/p/9780062434159/anima-rising?path=1,Hardcover,new_releases,2025-08-23 10:39:36.539555
The Falklands Factor: The Battle That Changed the ...,,"Rp 673,000",https://static.periplus.com/oq1RLhnD1d1hf2D2PNrDl9GPR_sdH6F_1dWJ7babZRpZu6GrJUN.TCspDFs11dNKQ--,http://www.periplus.com/p/9781739164072/the-falklands-factor-the-battle-that-changed-the-shape-of-ships?path=1,Hardcover,new_releases,2025-08-23 10:39:36.539924
"Politics and the People: Scotland, 1945-1979",,"Rp 795,000",https://static.periplus.com/mLxVn3VgRZ1f_LrnyGpr.Ip78AzuyfaX16gyBs7M9RdO73jOjQHOUSBFjpr8h7g8g--,http://www.periplus.com/p/9781474456999/politics-and-the-people-scotland-1945-1979?path=1,Paperback,new_releases,2025-08-23 10:39:36.540267
"Digital Death, Digital Assets and Post-Mortem Privacy...",,"Rp 795,000",https://static.periplus.com/lU1arYaOZsgay0y8oTiOXOuMKpr_2DW8pNLzOrEAlc3SUcPSQ1nOW6QmBRCtYRj1Q--,http://www.periplus.com/p/9781474485371/digital-death-digital-assets-and-post-mortem-privacy-theory-technology-and-the-law?path=1,Paperback,new_releases,2025-08-23 10:39:36.540622
Games of No Chance 6,,"Rp 4,513,000",https://static.periplus.com/vz1ISVuQVxF8rkmqfCQCujqJZpdmgvhuvXFdvPBE76z80M.ZT3Fscj55QNHAEn4FQ--,http://www.periplus.com/p/9781009565523/games-of-no-chance-6?path=1,Hardcover,new_releases,2025-08-23 10:39:36.540983
The Teachings of the Stoics Book and Card Deck : Includes...,,"Rp 456,000",https://static.periplus.com/jrA5jxTgBv6fED8PUD0T_jenr_yl8l78fxwPZ4CtBYoLj5YW2pbvu2gaaeMzVJpwg--,http://www.periplus.com/p/9781398851528/the-teachings-of-the-stoics-book-and-card-deck-includes-128-page-book-and-52-cards?path=1,Paperback,new_releases,2025-08-23 10:39:36.541338
Descartes and the Non-Human,,"Rp 985,000",https://static.periplus.com/lMBMk5OJAc9Pj2uzLxLUE6RJ3amIQaJ_u4sZRkhBZPS71BeCXLhWOtW2uP0FVZQMw--,http://www.periplus.com/p/9781009617147/descartes-and-the-non-human?path=1,Paperback,new_releases,2025-08-23 10:39:36.541687
Disney: Colourmania Stitch,,"Rp 214,000",https://static.periplus.com/tamezONkNGnwqb5KLWVGJ4GivAtb1vCfDZUMHGcO4ZW.ta1arZIXF_cRlfwQjaE4A--,http://www.periplus.com/p/9781836500360/disney-colourmania-stitch?path=1,Paperback,new_releases,2025-08-23 10:39:36.542046
